id,description,items
79,"Плитки 1x1",54200 3070 98138
80,"Плитки 1х2",85984 3069
81,"Плитки 1х3",63864
82,"Плитки 1х4",2431
83,"Плитки 1х6",6636
84,"Плитки 1х8",4162
85,"Уклоны закругленные 4x1 и более",61678
86,"Уклоны закругленные 4х2 и более",93606
87,"Уклоны закругленные мелкие",15068 11477
88,"Уклоны закругленные двойные",93273
89,"Бруски закругленные большой радиус",44126
90,"Бруски закругленные средний радиус",30165 6215
91,"Плитки 2х2 2х3",3068 26603
92,"Плитки 2х4",87079
93,"Углы",4865 6231
94,"Плитки с решеткой и уклоны ступеньками",2412 61409
95,"Плитки круглые",15535 4740 14769
96,"Бруски круглые средние и кольца",30367 30340 17485
97,"Крылья, спойлеры и прочие атозапчасти",41854 47457
98,"Сиденья и плитки с ручкой",4079 2432
99,"Автодвери, рули и рычаги",3822 3829
100,"Бруски круглые 1х1",3062 4589 64644
101,"Пластины круглые 1х1 и прозрачные",6141 3024 3023
102,"Плитки прозрачные, камни и огонь",98138 3070 30385
103,"Полуклинья мелкие до 6х3",41770
104,"Бруски клиньями и полуклиньями",90194 6565
105,"Конусы мелкие",3942 98100
106,"Конусы средние",6233
107,"Ящики и бочки",4345 61780
108,"Цепи, тросы и декор",572 30162
109,"Клинья скругленные",43712
110,"Уклоны обратные двойные",4871
111,"Ветровые стекла",92583
112,"Крылья, крыши и капоты",28326 98835
113,"Базы для транспорта и крепеж для колес",52036
114,"Окна",61345
115,"Уклоны 1х2 1х3 1х4",6270 3665
115,"Уклоны 2х2 2х3 2х4",3039 3660
116,"Уклоны 4х2 и более",3037
