id,description,items
117,"Арки",88292 3659
118,"Двери и дверные коробки",60623
119,"Витражные стекла",30562
120,"Тарелки, пластины, бруски закругленные",60474
121,"Пластины полуклинями средние",50305
122,"Пластины клиньями и полуклиньями крупные",2419
123,"Пластины квадратные",11212
124,"Пластины прямоугольные до 6х8",3032
125,"Пластины прямоугольные до 6х14",3030
126,"Панели крупные",14718
127,"Опоры",64448
128,"Пластины прямоугольные до 8х16",92438
129,"Камни, носовая часть техники",87613
130,"Панели закругленные",24593
131,"Хвосты, мачты, турбины",2340 4868
132,"Лестницы и ограды",6583 6016
133,"Плитки крупные",4515
134,"Инструменты",96874 92585
